Name,Soccer Experience,Guardian Name(s)
Phillip Helm,YES,Thomas Helm and Eva Jones
Ben Finkelstein,NO,Aaron and Jill Finkelstein
Herschel Krustofski,YES,Hyman and Rachel Krustofski
Sal Dali,NO,Gala Dali
Matt Gill,NO,Charles and Sylvia Gill
Arnold Willis,NO,Claire Willis
Kimmy Stein,NO,Bill and Hillary Stein
Joe Kavalier,NO,Sam and Elaine Kavalier
Chloe Alaska,NO,David and Jamie Alaska
Karl Saygan,YES,Heather Bledsoe
Sammy Adams,NO,Jeff Adams
Suzane Greenberg,YES,Henrietta Dumas
Joe Smith,YES,Jim and Jan Smith
Jill Tanner,YES,Clara Tanner
Bill Bon,YES,Sara and Jenny Bon
Eva Gordon,NO,Wendy and Mike Gordon
Diego Soto,YES,Robin and Sarika Soto
Les Clay,YES,Wynonna Brown
